ISO,SOV,SVO,OSV,OVS,VSO,VOS,MAX,WALS,SO,OS,Num_Sentences,H,H_SO,num_tokens,H_ML,H_MM,H_Jeff,H_Lap,H_SG,H_minmax,H_CS,H_NSB,H_shrink,corpus
acr,4,16,3,2,2,2,SVO,_,22,7,29,2.004364184708142,0.7973265101474423,50000.0,8.5643178527,8.6153748302,8.7456449361,8.907218281,8.5644268712,8.5884943855,8.7082590391,8.6569671688,8.570980994,PBC
acu,18,2,3,0,0,2,SOV,_,20,5,25,1.291314688649721,0.7219280948873623,50000.0,10.3076738291,10.4245609813,10.6138146237,10.8613423035,10.3077585105,10.326482698,10.5809689905,10.4438376112,10.3238082657,PBC
ade,9,53,9,2,8,6,SVO,_,70,17,87,1.82055028754829,0.7126368350739762,50000.0,8.0597203479,8.0868430147,8.1562198824,8.2453290924,8.0598275308,8.0834275788,8.1255156849,8.1081733792,8.068723226,PBC
adh,16,61,3,1,5,10,SVO,_,82,14,96,1.6333084745043858,0.5993142373098092,50000.0,9.1371220148,9.1978450491,9.3326693504,9.5036108314,9.1372219077,9.1592773733,9.2848755806,9.2327528794,9.1510547008,PBC
adj,7,28,9,2,6,5,SVO,SVO,41,16,57,2.1152380358531504,0.8564052389131376,50000.0,8.2504402753,8.2880946159,8.3884216313,8.5136983747,8.25055167,8.2751141073,8.3519884071,8.32145346,8.2598208482,PBC
adz,42,13,11,9,7,5,SOV,SVO,62,25,87,2.162170555166277,0.8652817028791377,,,,,,,,,,,
aey,64,9,5,4,5,1,SOV,SOV,78,10,88,1.416833823616224,0.5107878229540133,50000.0,9.3998495248,9.4840307804,9.6704812223,9.8992996936,9.3999510364,9.4223821361,9.6122132917,9.5345296784,9.4119099225,PBC
afr,315,85,45,13,37,2,SOV,_,437,60,497,1.614974002200841,0.5314393978836692,50000.0,8.5218630434,8.577536645,8.7269760959,8.9083777313,8.5219766032,8.5470509666,8.682871044,8.6290895452,8.5315637416,PBC
agd,56,14,18,25,10,6,SOV,SOV,80,49,129,2.217436904511916,0.9579324495888806,50000.0,9.2056289927,9.2699587646,9.4142086973,9.5951627583,9.2057299965,9.2280305158,9.36029897,9.3085564847,9.2198722908,PBC
agg,37,7,8,3,3,0,SOV,SOV,47,11,58,1.6181355815585838,0.7007495497162062,50000.0,9.6525838418,9.7720534181,10.035539349,10.3446516667,9.6526876037,9.6756322471,9.9696902433,9.8475677569,9.6639909275,PBC
agn,5,27,3,3,22,6,SVO,_,54,12,66,2.0577479276686828,0.6840384356390417,50000.0,8.0101705299,8.06135735,8.2149598232,8.3980996057,8.0102930869,8.0373578597,8.1778719724,8.1207283603,8.0160285808,PBC
agr,11,4,3,2,1,1,SOV,_,16,6,22,2.059039104674855,0.8453509366224365,50000.0,11.1131163527,11.2644262086,11.4378169977,11.6875147978,11.1131876487,11.1289558505,11.4096075543,11.2380970459,11.1459153277,PBC
agu,2,13,0,4,10,2,SVO,_,25,6,31,1.9437125270092035,0.7088356733321961,50000.0,8.538205757,8.5917730238,8.7318281309,8.9035544106,8.5383170069,8.5628780396,8.6882883055,8.6383191368,8.5440923515,PBC
agw,1,37,3,1,0,0,SVO,_,38,4,42,0.6898254696731744,0.4537163391869448,50000.0,7.764948806,7.8046517735,7.9278129908,8.0755766551,7.7650735538,7.7925919025,7.8864810837,7.8533410624,7.7700610825,PBC
ahk,16,4,12,10,1,0,SOV,SOV,21,22,43,1.9788500812712262,0.999609836367807,50000.0,8.425121171,8.4547541271,8.523624191,8.613949633,8.4252217014,8.447357386,8.4925489934,8.4729064791,8.4388184844,PBC
aia,9,32,7,2,2,4,SVO,SVO,43,13,56,1.8755547529971748,0.7817281222714539,50000.0,8.8358976756,8.8793372233,8.9774225947,9.1044107949,8.835997337,8.8579787942,8.9441901438,8.9045706158,8.8510393055,PBC
akb,7,19,4,6,36,5,VSO,_,62,15,77,2.090178453155702,0.7114160189012124,50000.0,8.1222826416,8.1754315269,8.3353004694,8.5245163509,8.122405909,8.1496207089,8.2902477513,8.2378719728,8.1295387915,PBC
ake,33,7,5,13,8,4,SOV,_,48,22,70,2.1602566283234923,0.898058793450166,50000.0,8.5148867306,8.5700986698,8.7182475032,8.8982426758,8.51500021,8.5400565875,8.6778342204,8.6211381869,8.525009644,PBC
akh,19,3,3,2,3,0,SOV,_,25,5,30,1.674381086877901,0.6500224216483541,50000.0,8.5315152208,8.5690685727,8.6618314661,8.7796882405,8.5316209592,8.5549249741,8.6235038343,8.5968642844,8.5460442129,PBC
aln,32,72,14,4,2,4,SVO,SVO,106,22,128,1.722362742088649,0.6619760641115652,50000.0,9.195398879,9.2752809034,9.459357547,9.6845736574,9.1955026965,9.218444402,9.4018978744,9.3280899873,9.2041668599,PBC
alp,6,31,8,3,4,2,SVO,SVO,41,13,54,1.905910684969329,0.7962699368824384,50000.0,8.3738321569,8.4127560691,8.5121809327,8.6375769522,8.3739402972,8.3977891143,8.4751011842,8.4439549355,8.3844162924,PBC
alq,11,15,2,2,3,1,SVO,_,29,5,34,1.9871100694473536,0.6024308020404452,50000.0,9.2771624998,9.3712694973,9.5906076577,9.8534554604,9.2772680897,9.300612038,9.5629142956,9.4367791849,9.2883434242,PBC
als,27,70,14,4,1,3,SVO,_,98,21,119,1.6554091065387735,0.6722948170756379,1462.0,7.3973194125,7.6632608034,7.7809276623,8.0360584157,7.3990912404,7.462835801,8.0050192101,7.4914133034,7.4637148589,UDHR
alt,62,2,9,32,3,1,SOV,_,67,42,109,1.5897954829500407,0.9617136136083146,50000.0,10.7682805172,10.883551851,11.0288334336,11.2384199158,10.7683538128,10.7845558889,10.9808536197,10.8702369682,10.7996610176,PBC
alz,4,59,8,2,2,2,SVO,_,65,12,77,1.2658003080669973,0.6242741010130388,50000.0,9.0957934739,9.1621862997,9.3153775072,9.5060181637,9.0958964343,9.1186366816,9.266754137,9.2052606317,9.1078751402,PBC
ame,6,11,2,1,3,2,SVO,_,20,5,25,2.151119777314698,0.7219280948873623,50000.0,10.1265326693,10.2587845237,10.5003228169,10.7977023482,10.1266248466,10.1470129142,10.4854864061,10.3039811114,10.1404239645,PBC
amh,30,2,3,6,0,1,SOV,SOV,32,10,42,1.3572845567133802,0.7918583525674836,50000.0,11.608890543,11.7994994118,11.9701512928,12.234235392,11.6089552935,11.6232795975,11.9205982114,11.7347520386,11.6446137569,PBC
amm,8,1,0,0,1,0,SOV,_,10,0,10,0.9219280948873623,-0.0,50000.0,8.539974792,8.6001207483,8.7611935887,8.9558378403,8.5400884535,8.56519332,8.7261456716,8.6557668499,8.5460222663,PBC
amn,58,11,9,3,7,1,SOV,SOV,76,13,89,1.6358194703826114,0.5999108763872214,50000.0,9.6635607423,9.7683581101,9.9916293267,10.2612054805,9.6636611141,9.685849724,9.9223741293,9.8268249816,9.6770964294,PBC
amp,13,7,2,1,3,1,SOV,SOV,23,4,27,1.9951805283708426,0.6051865766334206,50000.0,10.2119115158,10.3321457205,10.5398187614,10.8038260839,10.2119998998,10.2315436941,10.5023479522,10.3627192704,10.2287737394,PBC
amr,9,5,5,5,0,1,SOV,_,14,11,25,2.1095263323230746,0.9895875212220556,50000.0,10.7603350545,10.8917212919,11.0719797343,11.3176438209,10.7604128168,10.7776067621,11.0178511153,10.8902514263,10.7924774109,PBC
amu,5,20,2,4,13,8,SVO,_,38,14,52,2.2359412814484334,0.8403586716091171,50000.0,9.019528732,9.1003485082,9.2985449041,9.5366140785,9.0196371905,9.0436067464,9.249825987,9.1631452471,9.0247912234,PBC
ann,9,36,7,0,1,6,SVO,SVO,46,13,59,1.648611108283295,0.7607859931846075,50000.0,8.7021671327,8.7577397457,8.8988381794,9.0725710944,8.7022762856,8.7263753273,8.8593899871,8.8029779209,8.7137701244,PBC
anv,8,35,5,2,9,6,SVO,_,52,13,65,2.004311719415864,0.7219280948873623,50000.0,9.3769071486,9.4466758808,9.5917399973,9.7773297185,9.3770032465,9.3982308094,9.5524532375,9.4797262767,9.3901392176,PBC
aoj,15,69,11,2,6,7,SVO,SVO,90,20,110,1.7331183161104606,0.6840384356390417,50000.0,9.8522875839,9.9448508978,10.1201414588,10.3436772033,9.8523795809,9.8727114343,10.0753005516,9.9779434771,9.8719600139,PBC
aom,26,9,7,2,7,1,SOV,_,42,10,52,2.0072911298054064,0.7062740891876007,50000.0,10.0992664279,10.189997519,10.3410547159,10.5429820256,10.0993511127,10.1180648843,10.3062892636,10.2059818752,10.1225632779,PBC
aon,10,26,5,0,1,3,SVO,_,37,8,45,1.6741810608376237,0.6751914401458716,50000.0,8.8307898499,8.9033862643,9.0923855178,9.3177682822,8.8309024911,8.8557876961,9.0414226318,8.9678572137,8.8392199031,PBC
aoz,9,66,9,1,4,9,SVO,_,79,19,98,1.5890161000682657,0.7095128863456239,50000.0,8.2453294459,8.2858836035,8.3958589604,8.5319820312,8.2454425233,8.2703839255,8.3560188075,8.3234576592,8.2548241381,PBC
ape,16,24,5,1,3,5,SVO,SVO,43,11,54,2.0139010490459714,0.7292739418449411,50000.0,9.218783552,9.2986655764,9.4845147123,9.7108546308,9.2188881692,9.2420045269,9.4344328608,9.3530578101,9.2292602587,PBC
apn,5,5,1,2,1,1,SOV,SOV,11,4,15,2.2256051990169436,0.8366407419411673,50000.0,7.5332359091,7.5589735886,7.6367306288,7.7327324135,7.5333567472,7.5599653452,7.604341019,7.5883256009,7.5394325915,PBC
apu,5,13,1,1,2,0,SVO,SVO,20,2,22,1.6541881272613423,0.4394969869215134,50000.0,9.9853369619,10.088864758,10.2785964196,10.5197856629,9.9854277297,10.0054924557,10.2201491852,10.1221042902,10.0019549929,PBC
apw,29,3,8,5,4,1,SOV,SOV,36,14,50,1.8589366530687272,0.8554508105601307,50000.0,10.5008251168,10.6294269528,10.8291298038,11.0897608212,10.5009084886,10.519344043,10.7790711026,10.6457942499,10.5229703551,PBC
apy,7,3,3,13,0,2,OVS,No dominant order,10,18,28,1.9763915008231625,0.9402859586706309,50000.0,8.8833739932,8.9451501948,9.0971970737,9.2841819017,8.8834813306,8.9071846312,9.0527812068,8.9922809062,8.8968339297,PBC
apz,22,9,4,1,1,0,SOV,_,32,5,37,1.5706203758181025,0.5713549744279549,50000.0,9.6981455674,9.7943588996,9.9945074707,10.2404919193,9.6982437928,9.7199531439,9.9409489486,9.8434342866,9.7179881409,PBC
arl,14,3,4,1,2,0,SOV,_,19,5,24,1.7492184835974092,0.7382848661434506,50000.0,9.7458159146,9.8530225831,10.0739358372,10.3429184195,9.7459141594,9.76763439,10.0166859674,9.9070670063,9.7585081134,PBC
arn,8,46,10,7,13,4,SVO,SVO,67,21,88,2.061018758208506,0.7927652363756528,50000.0,8.5059672086,8.5898022174,8.8380542558,9.1203618935,8.5060919156,8.533654586,8.7962362295,8.6888169482,8.5145986548,PBC
aso,52,9,18,13,5,8,SOV,_,66,39,105,2.107329353927549,0.9517626756348311,50000.0,9.477218627,9.5521377805,9.7064921897,9.9028572765,9.4773145827,9.498512638,9.6630650898,9.5871054298,9.4912410847,PBC
ata,7,46,7,0,8,3,SVO,_,61,10,71,1.6125399872569002,0.5864477034453908,50000.0,8.3909979805,8.4504514431,8.6207631414,8.8227231734,8.3911175095,8.4175127886,8.5728108177,8.514284205,8.4000970215,PBC
atg,6,37,8,0,3,2,SVO,_,46,10,56,1.5392399750082906,0.676941869780886,50000.0,8.1082212583,8.135646891,8.205076624,8.2944272193,8.1083277089,8.1317658943,8.1735761353,8.1566870357,8.1185679748,PBC
auc,20,1,8,6,1,0,SOV,SOV,22,14,36,1.671360087495807,0.964078764808229,50000.0,9.3189642289,9.3815771937,9.5104071688,9.6774525993,9.3190591449,9.3400194853,9.4729887395,9.4096381699,9.3334667075,PBC
auy,4,4,2,1,0,0,SOV,_,8,3,11,1.823067982273661,0.8453509366224365,50000.0,11.1333575246,11.2816377209,11.4440925026,11.6840857852,11.1334269859,11.148789143,11.4088558946,11.2493730024,11.1553849925,PBC
ava,38,18,9,18,19,2,SOV,SOV,75,29,104,2.26987728226428,0.8538738465459897,50000.0,11.0921874529,11.2170238548,11.3474136486,11.5495583158,11.0922543037,11.1070326461,11.3086043457,11.1825278569,11.1323570372,PBC
avt,19,56,7,3,7,8,SVO,SVO,82,18,100,1.9040526417584858,0.6800770457282799,50000.0,8.4140448304,8.4612642391,8.5893713668,8.746044442,8.4141586753,8.4392782605,8.546644186,8.5056489304,8.4250505811,PBC
avu,6,1,5,3,0,1,SOV,No dominant order,7,9,16,2.007856063692049,0.9886994082884974,50000.0,7.6810898598,7.7061350457,7.7780465766,7.8679614391,7.6812062211,7.7068194048,7.7475926863,7.7318117782,7.6891974013,PBC
awa,68,13,5,7,5,1,SOV,_,86,13,99,1.5291146509469418,0.561028486340068,50000.0,9.1779615872,9.2494182726,9.414431122,9.6179664943,9.1780650937,9.2009280887,9.3609712656,9.2964834717,9.1891842972,PBC
awb,33,14,10,6,7,2,SOV,SOV,54,18,72,2.1400845117862124,0.8112781244591328,50000.0,10.4479885391,10.5563060828,10.7174417281,10.9369090232,10.4480686572,10.4657788789,10.6841432243,10.5623167738,10.4749706987,PBC
ayo,7,18,2,2,5,3,SVO,SVO,30,7,37,2.0993273532785413,0.6997722217733069,50000.0,8.5371737761,8.6108377848,8.8205023405,9.0647609336,8.5372939606,8.5638496573,8.7723733425,8.6901919011,8.5455909612,PBC
ayr,57,8,9,3,3,1,SOV,_,68,13,81,1.4693088815920565,0.635489638182683,50000.0,11.7234866262,11.9439448554,12.138358263,12.4318859033,11.7235521026,11.7380401879,12.0662876911,11.8716407905,11.7484659743,PBC
aze,91,2,3,25,1,0,SOV,_,94,28,122,1.069584841623436,0.7771529943226336,50000.0,11.1776786358,11.3212989271,11.4749558608,11.7049436893,11.1777471905,11.1929061869,11.4095201819,11.2869628192,11.2098078705,PBC
azg,2,8,4,1,7,4,SVO,_,17,9,26,2.3292287775871223,0.9305861291319928,50000.0,8.4490857921,8.5176282335,8.712439472,8.9413314539,8.4492053285,8.4756148377,8.662509339,8.5906778321,8.4538308461,PBC
azz,3,19,3,0,4,1,SVO,_,26,4,30,1.6328773369500165,0.5665095065529053,50000.0,8.7019438592,8.7897895602,9.0353131584,9.3173241275,8.7020636329,8.7285394343,8.9947984912,8.8824047293,8.7092244716,PBC
bam,50,16,4,3,0,1,SOV,SOV,66,8,74,1.358808811697873,0.49418293484978865,50000.0,7.7328589898,7.7611502395,7.8417128645,7.9424308726,7.7329747442,7.7584827618,7.8096733854,7.7896474918,7.740371829,PBC
ban,7,35,0,6,5,3,SVO,_,47,9,56,1.6814496894075277,0.6360156177392154,50000.0,9.4923023276,9.5635858895,9.7052534326,9.8887281674,9.4923956963,9.5130207854,9.6566938885,9.5923768443,9.5079175101,PBC
bao,26,4,24,6,0,5,SOV,_,30,35,65,1.9089839950632255,0.9957274520849255,50000.0,8.8860989183,8.9511067568,9.1118828906,9.3084353632,8.8862068896,8.9100533963,9.0657571263,9.0015774815,8.8944703868,PBC
bav,2,41,5,1,2,3,SVO,SVO,45,9,54,1.309995647238622,0.6500224216483541,50000.0,7.9556053725,7.9811555017,8.0466570075,8.1311635299,7.9557124127,7.9792842431,8.0157605685,8.0012019424,7.9655557545,PBC
bbb,23,12,6,2,9,2,SOV,SOV,44,10,54,2.1419138907695254,0.691289869405789,50000.0,8.5706318566,8.6312106214,8.7975811118,8.9963260902,8.570747973,8.5963870559,8.7454534018,8.6909232221,8.5806975572,PBC
bbc,0,28,4,4,54,7,VSO,VOS,82,15,97,1.6409298794155458,0.6213290966942345,50000.0,8.3056209326,8.3651032492,8.5357516017,8.7387039399,8.3057403471,8.332117277,8.4926960831,8.4288468142,8.3130917169,PBC
bbr,21,0,3,0,0,0,SOV,_,21,3,24,0.5435644431995964,0.5435644431995964,50000.0,8.586091464,8.6292857535,8.7355429608,8.8700105142,8.5861971428,8.6095103946,8.6992385442,8.6610416404,8.599188257,PBC
bcl,1,26,4,12,53,17,VSO,_,80,33,113,1.9856866166326426,0.8713360108238785,50000.0,8.4158995037,8.4725685649,8.6286394312,8.8167993185,8.416015203,8.4415661475,8.585127043,8.5280883475,8.4235663074,PBC
bcn,16,59,4,7,31,10,SVO,_,106,21,127,2.0632768841137517,0.6469663083308032,,,,,,,,,,,
bcw,0,11,2,1,2,1,SVO,_,13,4,17,1.6137129703673825,0.7871265862012691,50000.0,8.2224832018,8.2662689963,8.3908423043,8.5421348657,8.2226007446,8.2485303806,8.3515010798,8.3116988207,8.2334033559,PBC
bdd,1,0,1,0,1,2,VOS,_,2,3,5,1.9219280948873623,0.9709505944546686,50000.0,9.1501476586,9.23004411,9.4164124445,9.6438364446,9.1502522939,9.1733762249,9.3687150489,9.2845259254,9.1568573138,PBC
bef,35,10,9,8,5,3,SOV,_,50,20,70,2.1058824522088444,0.863120568566631,50000.0,9.6626192783,9.7477527127,9.918417277,10.1339695808,9.662714328,9.6837160168,9.8536470589,9.7849916223,9.6799287762,PBC
bex,15,43,4,4,4,13,SVO,SVO,62,21,83,1.9890338925258142,0.8160172973428257,50000.0,7.8826245455,7.9058519356,7.9656266624,8.0429514467,7.8827316618,7.9063087803,7.9372083496,7.9241682173,7.8937887363,PBC
bfd,6,68,2,1,4,5,SVO,SVO,78,8,86,1.1813009327976,0.446481346896803,50000.0,8.6273505837,8.6833848591,8.8298517324,9.0084921925,8.6274621467,8.6520919097,8.7812449468,8.7323818048,8.6364472526,PBC
bgr,38,15,28,13,2,0,SOV,SOV,55,41,96,1.9731264736541652,0.9846039962086801,50000.0,7.6539519403,7.6849410298,7.7773352428,7.8910252236,7.6540720009,7.6805385567,7.739541998,7.7195052931,7.6604872909,PBC
bgz,3,48,2,1,4,1,SVO,_,55,4,59,1.0888619046706722,0.3576467062456332,50000.0,9.1200995186,9.1993756111,9.389306091,9.6189927836,9.12020622,9.1437835801,9.3326132145,9.2575344238,9.1308271416,PBC
bhl,9,1,1,0,0,0,SOV,_,10,1,11,0.8658566174572235,0.4394969869215134,50000.0,8.7890248435,8.8399519785,8.9667182163,9.1240213696,8.7891323792,8.812858264,8.9231745884,8.8794473466,8.8042130225,PBC
bhp,4,57,4,0,10,4,SVO,_,71,8,79,1.3709451563256612,0.47299536229314815,50000.0,8.7647979529,8.8222460694,8.9656832495,9.1425404573,8.7649060107,8.7887640316,8.9178270255,8.8673108084,8.7758637255,PBC
bib,27,10,4,1,1,0,SOV,_,38,5,43,1.4820497894163474,0.5185697317883058,50000.0,7.2813115777,7.3022018018,7.365679821,7.4447079526,7.2814322898,7.3079927547,7.3365035029,7.3260700752,7.2874462856,PBC
big,48,13,8,3,3,3,SOV,_,64,14,78,1.7411896691578876,0.6789538995185759,50000.0,9.2897040802,9.3448294577,9.4574411715,9.6049609963,9.289798166,9.3105625137,9.4174463124,9.3685879352,9.3085346884,PBC
bim,8,32,4,1,1,2,SVO,SVO,41,7,48,1.5432958340544896,0.5993142373098092,50000.0,8.0475102714,8.0914403354,8.2198022021,8.3750795628,8.0476299512,8.0740396797,8.1831368789,8.1394441128,8.0531924016,PBC
bis,3,17,7,0,1,1,SVO,_,21,8,29,1.6202830552026597,0.8497511372532974,50000.0,6.6872436803,6.7013820917,6.7464377946,6.802769798,6.6873676944,6.7146206877,6.7213141981,6.718868954,6.6919101786,PBC
biv,12,48,7,0,4,2,SVO,_,64,9,73,1.5220268260351872,0.5387379148665815,50000.0,7.3733276189,7.397738019,7.4724958427,7.564831553,7.3734494456,7.4002756828,7.4392741139,7.4262380354,7.3780011144,PBC
bjr,32,6,4,5,6,5,SOV,_,44,14,58,2.026277013101236,0.7973265101474423,50000.0,10.5049897719,10.6328269795,10.8347723576,11.0960879429,10.5050741202,10.5237234788,10.751506005,10.6521092837,10.5309179005,PBC
bjv,4,19,3,4,2,6,SVO,_,25,13,38,2.1169989539194134,0.9268190639645771,50000.0,7.7652754942,7.7917200943,7.864979323,7.9574380035,7.7653887925,7.7903450085,7.8340566235,7.8167225304,7.7723352365,PBC
bkq,4,1,1,4,3,1,SOV,_,8,6,14,2.3248629576173565,0.9852281360342515,50000.0,9.7455251672,9.8320435888,9.9977535786,10.2104160262,9.7456173283,9.7659846914,9.9696700707,9.8636555252,9.7626338079,PBC
bku,4,43,7,2,2,5,SVO,_,49,14,63,1.5869543777692776,0.7642045065086203,50000.0,8.7547650471,8.8039898019,8.9222365787,9.0715161552,8.7548694742,8.7779163423,8.885731572,8.8383851651,8.7678364383,PBC
bkv,14,40,3,2,3,4,SVO,_,57,9,66,1.7157597601368186,0.5746356978376794,50000.0,8.2054337157,8.2341289201,8.3059367976,8.3983629531,8.205539467,8.228825636,8.2775209977,8.2555951395,8.2170891064,PBC
blh,20,28,6,2,0,1,SVO,_,48,9,57,1.6477272997842662,0.6292492238560345,50000.0,8.2978504041,8.3281181461,8.4007178447,8.4952486432,8.2979530484,8.3205666883,8.3655798518,8.3483074012,8.3087139569,PBC
blz,5,51,9,3,3,4,SVO,_,59,16,75,1.602919584732003,0.7478061583312325,50000.0,8.5565563556,8.6150864934,8.7692163448,8.9569158673,8.5566684432,8.5814254427,8.7285015779,8.6669898866,8.5651015452,PBC
bmh,21,5,1,0,2,0,SOV,_,28,1,29,1.2080393967554763,0.21639693245126462,50000.0,8.4038893352,8.4408511822,8.5337938681,8.6517294524,8.4039961824,8.4275512721,8.4984966344,8.4693004997,8.4140218415,PBC
bmr,39,7,11,6,4,0,SOV,_,50,17,67,1.7773474919597407,0.8171387756817723,50000.0,10.8639381433,11.0189412985,11.2297693224,11.5105217637,10.864016654,10.8813821232,11.1678277058,11.0187990274,10.8898766544,PBC
bmu,36,11,5,7,2,3,SOV,_,49,15,64,1.903327183000984,0.7855602922535472,50000.0,10.3137045356,10.4153279743,10.5745840153,10.7887393828,10.3137868848,10.3319867752,10.5137960776,10.4267984865,10.3357791844,PBC
bng,20,6,10,6,2,0,SOV,_,28,16,44,1.9894908719265076,0.9456603046006401,,,,,,,,,,,
bnj,6,29,1,1,16,3,SVO,_,51,5,56,1.7868886476792112,0.43408112000433474,50000.0,7.9025898058,7.9402874272,8.051162429,8.1864500948,7.9027094031,7.9290896692,8.0175765301,7.9816377604,7.9089569632,PBC
bnp,4,32,4,0,3,2,SVO,_,39,6,45,1.4306333740593755,0.5665095065529053,50000.0,7.3607919403,7.3866450354,7.4685784015,7.5685487435,7.3609172492,7.3885100253,7.4345993541,7.4191029189,7.3656485147,PBC
boa,14,12,5,4,9,4,SOV,_,35,13,48,2.408681575619532,0.8426578772022391,50000.0,10.8513758403,10.9955587827,11.188046564,11.4496934136,10.8514529781,10.8685125895,11.1449805866,10.991176758,10.8802083846,PBC
boj,38,4,3,7,3,1,SOV,_,45,11,56,1.5826673333149894,0.7147274731317892,50000.0,8.3702939053,8.4254337098,8.5811789467,8.767950185,8.3704116934,8.3964204671,8.5461642127,8.4824556631,8.3801361031,PBC
bon,49,8,2,0,2,0,SOV,_,59,2,61,0.9615441840932928,0.208180945557171,50000.0,8.3958161739,8.4415351797,8.5682546311,8.7224295361,8.3959317955,8.4214365763,8.5320358294,8.486633007,8.4094947392,PBC
box,8,42,8,1,2,3,SVO,_,52,12,64,1.6057465740801344,0.6962122601251459,50000.0,7.6969034148,7.7218043312,7.7914293503,7.8792806023,7.6970173615,7.7221072608,7.7594916407,7.7457947858,7.7052538047,PBC
bpr,3,26,1,1,15,3,SVO,_,44,5,49,1.7305350153371857,0.47543164626872064,50000.0,7.8075149118,7.8509688864,7.9844256775,8.1444923414,7.8076388595,7.8349982254,7.9441748465,7.9032436457,7.8129684752,PBC
bps,4,17,2,1,14,4,SVO,_,35,7,42,2.0401784415868027,0.6500224216483541,50000.0,7.9792207085,8.0261371512,8.1662294533,8.3343429987,7.9793424904,8.006226564,8.1261572368,8.07980557,7.984978233,PBC
bqc,50,16,10,4,2,1,SOV,SOV,68,15,83,1.6833274983636732,0.6816559115981192,50000.0,9.4275396941,9.514260093,9.7046071944,9.9382165462,9.427640722,9.4499672108,9.646573739,9.5650997622,9.4391418097,PBC
bre,9,86,8,1,30,11,SVO,SVO,125,20,145,1.728539713527851,0.5787946246321198,50000.0,8.8233752781,8.8815447422,9.0218287982,9.1966891004,8.823480635,8.8467468359,8.9779994212,8.9231895482,8.832661915,PBC
bru,6,27,2,1,0,2,SVO,_,33,5,38,1.3560396828451489,0.5617526078313282,50000.0,7.7891802103,7.8098396033,7.8626152602,7.9313596762,7.7892864688,7.8126631626,7.8381859806,7.8257229923,7.7993550196,PBC
bsn,5,0,0,9,1,2,OVS,No dominant order,6,11,17,1.6087001655198914,0.9366673818775625,50000.0,9.1328834889,9.2214649644,9.4363715337,9.692697089,9.1329916938,9.1569105529,9.4076745814,9.2892469377,9.1434912383,PBC
bss,10,38,10,0,5,9,SVO,_,53,19,72,1.9199420445531303,0.8325582396745668,50000.0,9.7446327721,9.8360707838,10.0161334167,10.2432534891,9.7447270486,9.7655628898,9.9733968885,9.8740179082,9.7620363554,PBC
btd,4,14,2,5,27,3,VSO,_,45,10,55,1.9986422690915617,0.6840384356390417,50000.0,8.6962896648,8.7604174593,8.9281587252,9.1305999087,8.6964018878,8.7211890885,8.8768665624,8.8171544202,8.7051803505,PBC
