ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
urb	2	2	4	1	1	0	OSV	SOV
usa	27	14	9	6	5	4	SOV	SOV
usp	10	36	5	5	4	9	SVO	_
uvl	6	44	7	0	4	3	SVO	_
uzb	63	2	6	9	1	2	SOV	_
vag	14	32	7	1	3	4	SVO	_
ven	24	37	9	3	5	2	SVO	SVO
vie	9	121	9	0	10	7	SVO	SVO
viv	35	5	7	4	1	0	SOV	SOV
vmy	8	35	5	7	7	6	SVO	_
vun	2	36	4	1	1	5	SVO	_
waj	43	12	7	4	4	2	SOV	_
wal	76	6	14	4	0	0	SOV	SOV
wap	7	18	1	2	2	1	SVO	_
war	3	26	4	1	52	18	VSO	_
way	3	2	2	10	2	3	OVS	_
wbm	8	58	4	4	5	2	SVO	_
wca	2	2	0	0	0	0	SOV	_
wer	56	14	21	10	3	3	SOV	_
wim	6	9	2	0	1	0	SVO	SOV
wiu	37	12	13	19	1	6	SOV	_
wmw	9	45	1	0	3	5	SVO	_
wnc	29	11	7	8	7	2	SOV	_
wnu	24	11	6	13	3	3	SOV	SOV
wob	2	3	0	0	1	0	SVO	_
wol	16	47	9	1	12	5	SVO	SVO
wos	21	7	4	5	5	0	SOV	SOV
wrs	10	12	2	0	1	0	SVO	_
wuv	4	52	7	3	2	11	SVO	_
wwa	24	38	1	0	0	4	SVO	SVO
xal	48	4	7	3	4	1	SOV	_
xav	0	0	1	1	0	0	OSV	_
xbr	1	10	1	0	1	7	SVO	_
xho	1	22	0	1	0	4	SVO	SVO
xkl	6	45	3	1	6	6	SVO	_
xla	33	7	4	6	3	2	SOV	_
xon	12	56	0	7	2	13	SVO	_
xrb	16	4	3	1	0	0	SOV	_
xsi	6	20	4	0	2	1	SVO	SVO
xsm	5	22	2	1	1	1	SVO	SVO
xsu	3	1	0	0	1	0	SOV	SOV
xtd	4	9	1	2	11	5	VSO	_
xtm	1	8	1	2	11	2	VSO	_
yaa	19	9	4	0	4	3	SOV	SOV
yad	0	19	0	2	8	2	SVO	No dominant order
yal	48	9	1	3	3	0	SOV	_
yam	9	33	6	2	4	5	SVO	_
yan	40	5	5	9	1	1	SOV	_
yaq	13	2	7	3	0	1	SOV	SOV
yby	55	9	14	22	6	6	SOV	_
ycn	6	9	1	0	0	2	SVO	SVO
yle	5	0	4	1	0	1	SOV	SOV
yli	43	11	8	21	9	10	SOV	_
yon	35	9	8	8	1	3	SOV	SOV
yor	10	64	13	1	1	3	SVO	SVO
yss	70	6	4	3	1	1	SOV	_
yua	8	50	9	10	4	5	SVO	_
yuj	31	2	7	4	0	0	SOV	SOV
yut	33	11	3	13	1	1	SOV	_
yuw	38	11	3	4	2	0	SOV	_
yuz	2	7	0	0	2	1	SVO	_
yva	20	13	4	1	1	4	SOV	_
zab	8	34	4	3	16	4	SVO	_
zac	5	22	2	1	17	9	SVO	_
zad	8	22	3	3	11	8	SVO	_
