ISO	SOV	SVO	OSV	OVS	VSO	VOS	MAX	WALS
dad	63	7	4	3	0	1	SOV	_
daf	4	0	2	1	1	0	SOV	SOV
dah	17	5	4	17	2	3	SOV	_
dan	28	715	48	6	121	2	SVO	SVO
ded	60	17	11	5	2	2	SOV	_
des	15	2	3	4	2	0	SOV	SOV
deu	1571	1391	251	53	529	105	SOV	No dominant order
dgi	12	95	0	0	4	1	SVO	_
dgr	25	5	1	13	1	4	SOV	_
dgz	41	11	17	12	2	2	SOV	SOV
dhm	54	75	5	1	4	2	SVO	_
dig	12	36	3	1	4	4	SVO	_
dik	33	26	14	7	11	2	SOV	_
dip	54	29	6	6	9	1	SOV	No dominant order
dje	110	60	16	0	0	4	SOV	No dominant order
djk	4	17	6	1	1	1	SVO	SVO
djr	11	28	1	0	2	3	SVO	No dominant order
dnj	5	2	0	0	2	0	SOV	_
dob	3	0	1	0	0	0	SOV	_
dop	8	43	3	1	1	12	SVO	_
dtp	5	15	1	3	23	11	VSO	_
dts	46	3	5	3	2	0	SOV	_
dug	11	22	3	2	3	5	SVO	_
dur	4	37	1	1	2	2	SVO	_
dwr	112	3	16	6	1	0	SOV	_
dww	54	16	20	3	3	2	SOV	_
dyi	51	13	13	3	1	0	SOV	_
dyo	6	35	5	0	3	2	SVO	SVO
dyu	54	18	2	2	1	0	SOV	_
ell	120	248	10	56	54	49	SVO	No dominant order
emp	62	10	7	15	3	1	SOV	_
enb	9	7	0	0	3	3	SOV	_
eng	47	4576	291	23	74	14	SVO	SVO
enm	13	896	59	9	19	16	SVO	_
epo	46	289	21	3	0	3	SVO	_
erv	10	4	1	10	0	5	SOV	_
ese	12	3	1	1	2	0	SOV	SOV
esk	4	17	1	0	3	2	SVO	_
est	146	350	45	14	45	9	SVO	SVO
eus	91	169	21	54	104	32	SVO	SOV
ewe	13	46	6	5	7	10	SVO	SVO
faa	14	1	5	2	0	1	SOV	_
fai	40	12	8	7	5	0	SOV	_
fal	5	65	2	3	5	4	SVO	_
fao	9	241	18	2	41	1	SVO	_
fij	6	80	3	4	10	29	SVO	No dominant order
fin	130	498	62	11	31	9	SVO	SVO
fiz	48	67	10	4	6	6	SVO	_
flm	45	12	31	12	2	3	SOV	_
for	19	2	1	3	0	1	SOV	SOV
fra	379	1025	64	9	31	8	SVO	SVO
fub	7	129	4	1	1	3	SVO	SVO
fuf	8	121	5	2	6	7	SVO	_
fuv	8	71	10	3	4	3	SVO	_
gag	87	179	11	16	2	12	SVO	_
gah	38	9	4	5	3	5	SOV	SOV
gaw	32	2	5	3	1	0	SOV	_
gbi	13	15	6	1	4	5	SVO	_
gbo	34	42	8	1	3	4	SVO	_
gde	6	39	3	1	21	2	SVO	VSO
gdn	22	6	4	7	6	1	SOV	_
gdr	73	17	3	2	4	1	SOV	_
gej	18	100	8	2	2	3	SVO	_
gfk	3	71	4	0	3	1	SVO	_
ghs	83	21	10	16	12	5	SOV	SOV
gil	1	51	10	2	8	24	SVO	VOS
giz	8	56	4	0	0	2	SVO	_
gkn	23	55	3	1	6	2	SVO	SVO
gkp	68	31	9	5	1	2	SOV	_
gle	19	33	2	13	133	23	VSO	VSO
gmv	125	6	11	16	2	1	SOV	_
gnd	4	9	1	0	0	2	SVO	_
gng	2	42	1	0	1	2	SVO	_
gnw	10	38	3	1	9	2	SVO	_
gof	121	7	14	11	1	0	SOV	_
gog	6	36	4	1	2	1	SVO	_
gor	9	97	1	2	5	5	SVO	_
grc	79	252	24	44	64	97	SVO	_
grk	19	88	10	10	28	34	SVO	_
gso	3	87	3	0	0	0	SVO	_
gub	2	3	0	4	4	3	OVS	VSO
guc	3	4	1	5	6	2	VSO	VSO
gug	10	55	5	1	13	6	SVO	SVO
guh	3	4	0	0	1	1	SVO	SOV
gui	9	42	4	4	7	6	SVO	_
guj	24	5	4	0	1	2	SOV	SOV
gul	7	73	7	1	2	0	SVO	_
gum	38	5	11	17	1	1	SOV	_
gun	29	47	17	14	3	4	SVO	_
guo	4	4	1	1	0	0	SOV	_
gur	7	76	1	0	4	2	SVO	_
gux	5	140	4	0	1	5	SVO	_
guz	2	29	0	3	2	2	SVO	_
gvc	10	3	4	7	2	1	SOV	_
gvf	13	3	3	6	1	0	SOV	SOV
gvn	58	4	1	0	0	1	SOV	SOV
gwi	20	11	4	11	6	2	SOV	_
gym	6	4	3	5	1	0	SOV	SOV
gyr	7	29	3	8	7	11	SVO	_
hae	71	8	8	7	1	2	SOV	SOV
hag	6	51	1	0	0	2	SVO	_
hak	18	84	1	2	5	3	SVO	SVO
hat	11	82	8	0	5	5	SVO	_
hau	4	156	9	0	1	5	SVO	SVO
haw	3	31	2	2	70	3	VSO	VSO
hay	10	35	8	1	2	6	SVO	SVO
hch	11	19	5	3	4	1	SVO	SOV
heh	8	37	6	4	1	8	SVO	SVO
hif	108	11	10	7	2	1	SOV	_
hig	3	39	9	3	0	5	SVO	_
hil	4	53	8	5	70	17	VSO	VSO
